Team Name	Monster	Prompt
Stormreach Beholders	Beholders	PixArFK, pixel art of A floating orb covered in scales with a single large central eye and ten smaller eyestalks projecting from its body, each ending in a glowing eye that can fire magical rays. Its body levitates effortlessly, and its expression is both intelligent and menacing.
Ironvale Mindflayers	Mindflayers	PixArFK, pixel art of A tall humanoid creature with smooth violet skin, an octopus-like head with four long face tentacles, and glowing white eyes. Its robes flow elegantly, and psychic energy seems to ripple in the air around it.
Crimson Bay Liches	Liches	PixArFK, pixel art of An undead sorcerer whose flesh has decayed to reveal bones and sinew. Its eyes glow with cold intelligence, and it wears tattered robes embroidered with ancient arcane symbols and gold trim.
Frostpeak Tarrasques	Tarrasques	PixArFK, pixel art of A colossal reptilian beast towering like a mountain, covered in thick, spiked armor plates. It has a horned head, immense claws, and a jaw filled with teeth sharp enough to crush stone.
Obsidian Falls Kobolds	Kobolds	PixArFK, pixel art of Small, wiry reptilian humanoids with narrow snouts, scaly skin in shades of red or brown, and bat-like ears. They carry crude weapons and move with nervous energy and cunning.
Silverport Owlbears	Owlbears	PixArFK, pixel art of A massive beast combining the muscular body of a bear with the feathered head of an owl. Its sharp beak and taloned paws give it a ferocious, primal appearance.
Emberhold Mimics	Mimics	PixArFK, pixel art of A shapeshifting predator that disguises itself as treasure chests or furniture. When revealed, its wooden texture splits open into a mouth lined with dripping teeth and a long, sticky tongue.
Shadowfen Gelatinous Cubes	Gelatinous Cubes	PixArFK, pixel art of A giant transparent cube of acidic ooze that slides silently through dungeons. Bones, weapons, and debris from its prey float suspended within its jelly-like body.
Twilight Ridge Displacer Beasts	Displacer Beasts	PixArFK, pixel art of A sleek panther-like creature with deep blue fur and two long tentacles tipped with spiked pads extending from its shoulders. Its form shimmers as if slightly out of phase with reality.
Ravenrock Hydras	Hydras	PixArFK, pixel art of A reptilian monster with multiple serpentine heads, each snapping and hissing independently. Its emerald scales glisten, and when one head is severed, two more quickly grow back.
Driftspire Basilisks	Basilisks	PixArFK, pixel art of A reptilian creature with eight clawed legs, a stony hide, and cold, unblinking eyes capable of turning living beings into stone. Its movement is slow but deliberate and deadly.
Ashvale Manticores	Manticores	PixArFK, pixel art of A lion-bodied monster with a human-like face, leathery wings, and a barbed tail that fires spikes like arrows. Its grin reveals rows of sharp, uneven teeth.
Verdant Hollow Gnolls	Gnolls	PixArFK, pixel art of Hyena-headed humanoids with matted fur, muscular bodies, and jagged weapons. They snarl constantly, their laughter echoing as a sound of hunger and cruelty.
Moonwatch Banshees	Banshees	PixArFK, pixel art of Ghostly female spirits with long, flowing hair and hollow eyes. Their translucent forms drift through the air, robes fluttering as if underwater, faces twisted in eternal sorrow.
Blackmere Vampires	Vampires	PixArFK, pixel art of Pale, elegant undead with sharp fangs, red eyes, and aristocratic clothing. Their expression blends charm and predation, and they move with an unnatural grace.
Cinderkeep Werewolves	Werewolves	PixArFK, pixel art of Muscular, fur-covered humanoids in mid-transformation between man and wolf. They have long claws, elongated snouts, and glowing animal eyes filled with rage.
Duskshore Zombies	Zombies	PixArFK, pixel art of Rotting humanoid corpses with torn flesh, blank eyes, and stiff, uncoordinated movements. They wear tattered remnants of their past lives and emit the faint stench of decay.
Thornhaven Goblins	Goblins	PixArFK, pixel art of Small, green-skinned humanoids with large ears, pointed noses, and sharp teeth. They wear mismatched armor and carry crude weapons, their posture hunched and eyes cunning.
Skyridge Orcs	Orcs	PixArFK, pixel art of Large, gray-green humanoids with heavy muscles, tusked mouths, and fierce red eyes. They wear thick armor made from scrap metal and wield massive axes or clubs.
Hollowpoint Trolls	Trolls	PixArFK, pixel art of Tall, sinewy creatures with green, rubbery skin that constantly heals itself. Their limbs are long and clawed, their faces stretched in cruel grins full of teeth.
Runegate Giants	Giants	PixArFK, pixel art of Enormous humanoids towering over all others, their features coarse and powerful. Their clothing is made from hides and furs, and they wield tree-trunk-sized weapons with ease.
Starforge Djinn	Djinn	PixArFK, pixel art of Elegant genies of blue vapor and wind, their muscular forms wreathed in swirling air. Gold jewelry adorns their arms, and their lower bodies trail into a misty vortex.
Blightmoor Efreeti	Efreeti	PixArFK, pixel art of Fiery genies made of living flame, with red skin, molten eyes, and blazing hair. Their bodies radiate heat, and their forms shimmer with smoke and cinders.
Wildspire Succubi	Succubi	PixArFK, pixel art of Seductive demons with smooth crimson or violet skin, black wings, and curved horns. Their beauty is mesmerizing, but their sharp claws betray their deadly nature.
Duskhaven Rakshasas	Rakshasas	PixArFK, pixel art of Tiger-headed humanoids dressed in lavish silks, their hands reversed so the palms face backward. Their eyes gleam with intelligence and cruelty.
Everglow Chimeras	Chimeras	PixArFK, pixel art of A monstrous fusion of lion, goat, and dragon, each head snapping and roaring independently. Its scaled wings stretch wide, and its tail ends in a venomous barb.
Grimvale Wyverns	Wyverns	PixArFK, pixel art of A dragon-like beast with two legs and vast leathery wings. Its scaly hide gleams dark green, and a venomous stinger arches from its long tail.
Wyrmwatch Dracoliches	Dracoliches	PixArFK, pixel art of Skeletal dragons animated by necromancy. Their bones are blackened and cracked, their eyes glowing with undead fire, and their wings tattered and spectral.
Sunforge Nagas	Nagas	PixArFK, pixel art of Serpentine creatures with the upper body of a human and the tail of a snake. Their jewel-toned scales shimmer, and their faces are both regal and alien.
Mythport Yeti	Yeti	PixArFK, pixel art of Towering ape-like beings covered in thick white fur. Their glowing blue eyes pierce through blizzards, and their roars echo across frozen mountains.
Deepmere Harpies	Harpies	PixArFK, pixel art of Winged humanoids with taloned feet, tangled hair, and cruel, birdlike faces. Their ragged wings stretch wide as they screech with predatory delight.
Echoreach Krakens	Krakens	PixArFK, pixel art of Enormous squid-like sea monsters with vast tentacles and a massive beaked maw. Its rubbery body glistens in shades of black and violet, and its eyes burn with alien intelligence.
Tempest Hollow Treants	Treants	PixArFK, pixel art of Towering, sentient trees with barklike faces, branch arms, and deep-set glowing eyes. Their movements are slow and deliberate, and their presence feels ancient and wise.
Ironspire Dryads	Dryads	PixArFK, pixel art of Graceful forest spirits resembling women with bark-like skin, leaf-covered hair, and vines wrapping their limbs. They radiate tranquility and connection to nature.
Fallowbrook Pixies	Pixies	PixArFK, pixel art of Tiny humanoids with glittering wings, bright clothing, and mischievous smiles. Their eyes sparkle with mischief, and they leave trails of faint light as they move.
Mistvale Myconids	Myconids	PixArFK, pixel art of Mushroom-like humanoids with fungal caps, porous skin, and calm, serene faces. Their coloration ranges from pale beige to deep violet, and they move slowly but purposefully.
Oblivion Ridge Sahuagin	Sahuagin	PixArFK, pixel art of Shark-like humanoids with green scaly skin, webbed hands, and jagged teeth. Their eyes are black and cold, and fins crest along their arms and backs.
Havenreach Kuo-Toa	Kuo-Toa	PixArFK, pixel art of Fishlike humanoids with bulging eyes, slimy skin, and webbed limbs. Their faces are expressive yet unsettling, mouths wide and full of uneven teeth.
Stormfell Specters	Specters	PixArFK, pixel art of Ghostly silhouettes of lost souls, faintly glowing and transparent. Their faces are obscured by shadow, and they drift silently with trailing mist.
Glimmerdeep Githyanki	Githyanki	PixArFK, pixel art of Lean, yellow-skinned humanoids with sharp features, wearing ornate silver armor. Their eyes are calm and deadly, and they wield blades that shimmer with psionic power.
Frostmere Githzerai	Githzerai	PixArFK, pixel art of Ascetic humanoids with gray-green skin and serene expressions. They wear simple robes that flow around them, their posture meditative and disciplined.
Brightgate Wraiths	Wraiths	PixArFK, pixel art of Dark, hooded figures made of swirling black mist, with faintly glowing eyes and no solid form. They exude an aura of cold and dread.
Soulforge Ogres	Ogres	PixArFK, pixel art of Huge, lumbering brutes with thick, grayish skin and coarse hair. Their faces are brutish, with flat noses and tusked jaws, and they carry massive clubs.
Amberfell Skeletons	Skeletons	PixArFK, pixel art of Animated skeletons with yellowed bones and faint magical light in their eye sockets. They wear scraps of armor and move with jerky precision.
Crowswatch Merfolk	Merfolk	PixArFK, pixel art of Half-human, half-fish beings with shimmering scales and flowing fins. Their upper bodies are humanlike, while their tails glisten in vibrant oceanic hues.
Runehaven Imps	Imps	PixArFK, pixel art of Small, red-skinned devils with bat wings and long tails. Their faces are impish and sly, always smirking, with small horns and glowing yellow eyes.
Silverkeep Gorgons	Gorgons	PixArFK, pixel art of Iron-skinned bull-like creatures that snort clouds of petrifying gas. Their eyes burn red, and their bodies gleam like polished metal.
Ashen Bay Hobgoblins	Hobgoblins	PixArFK, pixel art of Tall, disciplined goblinoids with reddish-orange skin and sharp tusks. They wear well-forged armor and carry themselves with military precision.
Moonspire Elementals	Elementals	PixArFK, pixel art of Living embodiments of natural elements—flame, stone, air, or water—taking humanoid forms that shift and flow constantly with their environment.
Thunderhold Mindwitnesses	Mindwitnesses	PixArFK, pixel art of Beholder-like creatures warped by psionic energy, their tentacles glowing with psychic light. Multiple eyes dot their surface, each moving independently in eerie unison.
